probe_id,log2FC,p_adj,kategori,gene_symbol,gene_title
201048_x_at,0.6285,3.121058491499251e-05,Artan,RAB6A /// WTH3DI,"RAB6A, member RAS oncogene family /// RAB6C-like"
209615_s_at,0.7583,3.270459906885639e-05,Artan,PAK1,p21 protein (Cdc42/Rac)-activated kinase 1
1555766_a_at,0.8865,3.317751071394641e-05,Artan,GNG2,"guanine nucleotide binding protein (G protein), gamma 2"
207124_s_at,0.5414,3.365503424239607e-05,Artan,GNB5,"guanine nucleotide binding protein (G protein), beta 5"
223922_x_at,-0.5996,3.576877290405888e-05,Azalan,MS4A6A,"membrane-spanning 4-domains, subfamily A, member 6A"
223653_x_at,0.5793,3.625039196562976e-05,Artan,CELF4,"CUGBP, Elav-like family member 4"
221279_at,0.568,3.658728126105587e-05,Artan,GDAP1,ganglioside induced differentiation associated protein 1
238862_at,0.6494,4.0122333305399387e-05,Artan,MFSD4,major facilitator superfamily domain containing 4
205984_at,0.7124,4.054214759263632e-05,Artan,CRHBP,corticotropin releasing hormone binding protein
224965_at,0.6796,4.077949534484948e-05,Artan,GNG2,"guanine nucleotide binding protein (G protein), gamma 2"
210127_at,0.534,4.1274450893851415e-05,Artan,RAB6B,"RAB6B, member RAS oncogene family"
219645_at,0.519,4.3980546372527776e-05,Artan,CASQ1,"calsequestrin 1 (fast-twitch, skeletal muscle)"
1553194_at,0.6945,4.415869009323272e-05,Artan,NEGR1,neuronal growth regulator 1
202873_at,0.6806,4.540492874394535e-05,Artan,ATP6V1C1,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1"
205149_s_at,0.539,4.544940717106253e-05,Artan,CLCN4,"chloride channel, voltage-sensitive 4"
